Level,Level1,Level2,Level3,Level4,Level5,Level6,Products and product groups
5,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles",Purchase and leasing of passenger vehicles,,Purchase and leasing of passenger vehicles
6,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles",Purchase and leasing of passenger vehicles,Purchase of passenger vehicles,Purchase of passenger vehicles
6,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles",Purchase and leasing of passenger vehicles,Leasing of passenger vehicles,Leasing of passenger vehicles
5,All-items,Transportation,Private transportation,"Purchase, leasing and rental of passenger vehicles",Rental of passenger vehicles,,Rental of passenger vehicles
4,All-items,Transportation,Private transportation,Operation of passenger vehicles,,,Operation of passenger vehicles
5,All-items,Transportation,Private transportation,Operation of passenger vehicles,Gasoline,,Gasoline
5,All-items,Transportation,Private transportation,Operation of passenger vehicles,"Passenger vehicle parts, maintenance and repairs",,"Passenger vehicle parts, maintenance and repairs"
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,"Passenger vehicle parts, maintenance and repairs","Passenger vehicle parts, accessories and supplies","Passenger vehicle parts, accessories and supplies"
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,"Passenger vehicle parts, maintenance and repairs",Passenger vehicle maintenance and repair services,Passenger vehicle maintenance and repair services
5,All-items,Transportation,Private transportation,Operation of passenger vehicles,Other passenger vehicle operating expenses,,Other passenger vehicle operating expenses
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,Other passenger vehicle operating expenses,Passenger vehicle insurance premiums,Passenger vehicle insurance premiums
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,Other passenger vehicle operating expenses,Passenger vehicle registration fees,Passenger vehicle registration fees
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,Other passenger vehicle operating expenses,Drivers' licences,Drivers' licences
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,Other passenger vehicle operating expenses,Parking fees,Parking fees
6,All-items,Transportation,Private transportation,Operation of passenger vehicles,Other passenger vehicle operating expenses,All other passenger vehicle operating expenses,All other passenger vehicle operating expenses
3,All-items,Transportation,Public transportation,,,,Public transportation
4,All-items,Transportation,Public transportation,Local and commuter transportation,,,Local and commuter transportation
5,All-items,Transportation,Public transportation,Local and commuter transportation,City bus and subway transportation,,City bus and subway transportation
5,All-items,Transportation,Public transportation,Local and commuter transportation,Taxi and other local and commuter transportation services,,Taxi and other local and commuter transportation services
4,All-items,Transportation,Public transportation,Inter-city transportation,,,Inter-city transportation
5,All-items,Transportation,Public transportation,Inter-city transportation,Air transportation,,Air transportation
5,All-items,Transportation,Public transportation,Inter-city transportation,"Rail, highway bus and other inter-city transportation",,"Rail, highway bus and other inter-city transportation"
2,All-items,Health and personal care,,,,,Health and personal care
3,All-items,Health and personal care,Health care,,,,Health care
4,All-items,Health and personal care,Health care,Health care goods,,,Health care goods
5,All-items,Health and personal care,Health care,Health care goods,Medicinal and pharmaceutical products,,Medicinal and pharmaceutical products
6,All-items,Health and personal care,Health care,Health care goods,Medicinal and pharmaceutical products,Prescribed medicines (excluding medicinal cannabis),Prescribed medicines (excluding medicinal cannabis)
6,All-items,Health and personal care,Health care,Health care goods,Medicinal and pharmaceutical products,Non-prescribed medicines,Non-prescribed medicines
6,All-items,Health and personal care,Health care,Health care goods,Medicinal and pharmaceutical products,Medicinal cannabis (201812=100),Medicinal cannabis (201812=100)
5,All-items,Health and personal care,Health care,Health care goods,Eye care goods,,Eye care goods
6,All-items,Health and personal care,Health care,Health care goods,Eye care goods,Prescription eyeglasses (2013=100),Prescription eyeglasses (2013=100)
6,All-items,Health and personal care,Health care,Health care goods,Eye care goods,Contact lenses (2013=100),Contact lenses (2013=100)
6,All-items,Health and personal care,Health care,Health care goods,Eye care goods,Other eye care goods (2013=100),Other eye care goods (2013=100)
5,All-items,Health and personal care,Health care,Health care goods,Other health care goods,,Other health care goods
4,All-items,Health and personal care,Health care,Health care services,,,Health care services
5,All-items,Health and personal care,Health care,Health care services,Eye care services (200704=100),,Eye care services (200704=100)
5,All-items,Health and personal care,Health care,Health care services,Dental care services,,Dental care services
5,All-items,Health and personal care,Health care,Health care services,Other health care services,,Other health care services
3,All-items,Health and personal care,Personal care,,,,Personal care
4,All-items,Health and personal care,Personal care,Personal care supplies and equipment,,,Personal care supplies and equipment
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,Personal soap,,Personal soap
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,Toiletry items and cosmetics,,Toiletry items and cosmetics
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,Oral-hygiene products,,Oral-hygiene products
5,All-items,Health and personal care,Personal care,Personal care supplies and equipment,Other personal care supplies and equipment,,Other personal care supplies and equipment
